case_number,category_1,category_2,category_3,granular_cluster_id,parent_cluster_id
9990735,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9990789,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9990794,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9990818,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9990823,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9990828,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9990831,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9990835,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,12,1
9990854,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,1,1
9990861,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",9,1
9990878,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9990896,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,1,1
9990899,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,8,1
9990908,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9990913,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9992548,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9992769,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9990928,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9990932,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Eligibility Criteria,12,1
9990944,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,12,1
9990969,WSG Programmes and Initiatives,Career Conversion Programme,Design,4,1
9991002,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9991004,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,1,1
9991016,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),Technical Issues - SFEC Microsite,5,1
9991017,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,6,1
9991036,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",9,1
9991046,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,9,1
9991058,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,2,1
9991083,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9991091,Regulations,Skills Development Levy (SDL),General Enquiries,8,1
9991108,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,8,1
9991154,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9991155,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,13,1
9991175,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9991182,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9991190,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,12,1
9991199,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9991209,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,5,1
9991215,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9991232,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9991235,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,9,1
9991239,Divisional Matters,SSG Divisional Matters,Regulation Division (RD) - Others,9,1
9991253,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9991261,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,12,1
9991265,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,1,1
9991269,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,8,1
9991277,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,13,1
9991307,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,13,1
9991331,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",10,1
9991345,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,13,1
9991359,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,9,1
9991387,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,7,1
9991390,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,5,1
9991403,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,13,1
9991411,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Purpose and Objective,13,1
9991412,"Grants, Awards and Funding Programmes or Systems",Course Fee Funding Support,Purpose and Objective - WSQ,13,1
9991420,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9993486,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995724,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995873,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9996066,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9996275,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9996459,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9997318,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
10009453,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
10013926,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
10015265,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9991428,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - Skills Passport,8,1
9991441,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9991449,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",6,1
9991462,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,7,1
9991466,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9991471,WSG Programmes and Initiatives,Career Conversion Programme,InfoComm Technology,1,1
9991476,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9991502,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9991504,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9991542,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,7,1
9991560,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9991573,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9991577,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal for Late Claim,4,1
9991583,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,10,1
9991587,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Eligibility Criteria - Enrolment,8,1
9991595,Employment Assistance and Career Services,Employment Assistance,Employment Faciliation,4,1
10019293,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,4,1
9991600,Regulations,Skills Development Levy (SDL),Refund,5,1
9991601,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,3,1
9999851,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,3,1
10014089,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,3,1
10018388,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,3,1
9991606,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Applications,12,1
9991607,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,5,1
9991618,Regulations,Skills Development Levy (SDL),Refund,13,1
9991623,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,1,1
9991629,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,8,1
9991630,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",9,1
9992506,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),9,1
9991639,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Others,7,1
9991647,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9991663,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,11,1
9991671,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Technical Support - System related enquiries,2,1
9991672,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,3,1
9991675,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9991694,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,5,1
9991696,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,10,1
9991716,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9991719,"Grants, Awards and Funding Programmes or Systems",Funding Policies,Funding Policies,5,1
9991742,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9991752,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,10,1
9991753,WSG Programmes and Initiatives,MyCareersFuture,Work Pass Related Matters,13,1
10010202,WSG Programmes and Initiatives,MyCareersFuture,Work Pass Related Matters,13,1
9991772,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,4,1
9991779,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,7,1
9991785,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9991792,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9991793,WSG Programmes and Initiatives,Career Conversion Programme,InfoComm Technology,13,1
9991807,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal for Late Claim,13,1
9991850,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9991858,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,13,1
9991877,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,4,1
9991883,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9991886,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9991892,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,9,1
9991898,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9991908,WSG Programmes and Initiatives,MyCareersFuture,Job scams and personal data privacy,4,1
9991910,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,7,1
9991940,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9991943,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,11,1
9991951,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Technical Support - System related enquiries,10,1
9991962,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9991971,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,4,1
9991977,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Workfare Income Supplement,4,1
9991978,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9991997,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,3,1
9992006,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,10,1
9992051,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9992055,WSG Programmes and Initiatives,Workfare Skills Support,Processes - Training Allowance,13,1
9992076,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,3,1
9992078,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9992094,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9992095,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992096,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,7,1
9992101,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992116,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Technical Support,10,1
9992145,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Enrolment",9,1
9992162,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Disbursement,13,1
9992163,Regulations,Skills Development Levy (SDL),General Enquiries,12,1
9992184,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",9,1
9992187,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9992193,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",8,1
9992203,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992238,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9992249,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992251,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",12,1
9992259,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,1,1
9992273,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9992278,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,2,1
9992297,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,4,1
9992299,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",1,1
9994717,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",1,1
9992312,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,10,1
9992320,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,1,1
9992337,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9992341,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,9,1
9992365,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,2,1
9992366,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,9,1
9992369,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Purpose and Objective,9,1
9992372,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,13,1
9992376,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,"Operational Matters, Exemptions and Appeal",13,1
9992386,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9992392,Regulations,CPE & Private Education Act/ Institutions,Eligibility Criteria - EduTrust Certification Scheme,10,1
9992412,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,13,1
9992416,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,8,1
9992429,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,8,1
9992454,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),2,1
9992489,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,8,1
9992494,Employment Assistance and Career Services,Career Advisory and Coaching,Careers Connect,8,1
9992500,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,1,1
9992516,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9993202,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9992518,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",12,1
9992521,"Grants, Awards and Funding Programmes or Systems",TPGateway - MAS-IBF,"Guidelines, Processes and Timeline - Enrolment",3,1
9992527,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Eligibility Criteria - Course Application,6,1
9992533,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,9,1
9992538,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,6,1
9992543,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,9,1
9992549,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,8,1
9992551,WSG Programmes and Initiatives,Career Trial,Processes - Application for Jobseekers,13,1
9992553,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,1,1
9992584,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",13,1
9992591,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,13,1
9992594,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",8,1
9992595,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9992605,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,12,1
9992628,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,8,1
9992638,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,5,1
9992643,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,9,1
9992650,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Assessment,10,1
9992671,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Technical Support,10,1
9992681,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,1,1
9992715,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Requests - Manual Qualification/Transcript status,4,1
9992717,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",11,1
9992726,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9992730,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services - Others,6,1
9992750,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992753,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9992754,WSG Programmes and Initiatives,Workfare Skills Support,Training Commitment Award Claim Status,2,1
9992759,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9992779,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",4,1
9992786,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,3,1
9992795,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,1,1
9992809,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9992839,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9992866,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9992877,Employment Assistance and Career Services,Workshops and Career Fairs,Programme Information,4,1
9992881,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",8,1
9992908,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",8,1
9992887,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,12,1
9992892,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for SME Funding,1,1
9992911,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9992919,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),"Guidelines, Processes and Timeline",7,1
9992935,Employment Assistance and Career Services,Career Matching Provider,Book a new appointment,9,1
9992959,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services - Others,2,1
9992962,WSG Programmes and Initiatives,Career Trial,Processes - Application for Host Organisations,7,1
9992964,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9992968,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,4,1
9992973,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",8,1
9992977,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Organisation Registration",7,1
9992980,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9992982,"Training Programmes, Training Systems and Advisory Services",WSQ Electronic Certificates (e-Certs),Purpose and Objective,4,1
9992986,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9992999,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",4,1
9993028,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,12,1
9993038,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9993055,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,4,1
9993057,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9993069,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,"Operational Matters, Exemptions and Appeal",13,1
9993085,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9993088,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9993090,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9993097,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9993102,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,9,1
9993126,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,9,1
9993127,WSG Programmes and Initiatives,Career Conversion Programme,General Programme Information,1,1
9993133,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,10,1
9993134,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9993156,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9993163,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9993167,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,5,1
9993172,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9993205,Employment Assistance and Career Services,Employment Assistance,Employment Faciliation,1,1
9993212,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,2,1
9993233,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9993235,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,6,1
9993255,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9993265,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9993277,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9993281,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,9,1
