subject,case_number
Payment,9994381
Customer,9994381
Recent policy changes,9994383
Training Provider,9994383
Customer,9994385
Customer,9994389
Customer,9994425
Previous version of PTRG,9994425
Customer,9994429
Customer,9994440
Customer,9995203
Customer,9994442
Customer,9994446
User,9994447
Customer,9994453
Absentee Payroll grants,9994461
Customer,9994461
Customer,9994467
Full Qualification,9994467
Issue,9994467
Customer,9994476
Skills Development Levy payments,9994476
Customer,9994487
Customer,9994761
Customer,9995006
Customer,9995080
Customer,9995536
Customer,9994489
Customer,9994506
Customer,9994521
Clarification sought,9994521
Customer,9994531
Customer,9994542
Absentee Payroll rejections,9994543
Customer,9994543
Customer,9994544
Customer,9994546
SingPass e-Attendance QR code generation,9994546
Portal,9994548
Request,9994548
Customer,9994569
Foreign director,9994569
Customer,9994592
Absentee Payroll funding claims,9994592
Customer,9994605
Offsetting request,9994607
Customer,9994607
Anil,9994614
Customer,9994618
Thai Language course,9994621
Additional mid-career support,9994621
Customer,9994621
Customer,9994630
Course,9994630
CLARICE,9994634
LCT SkillsFuture Singapore EMP case,9994634
Customer,9994635
Learner,9994646
Disqualification reason,9994646
Church client SME declaration,9994646
Customer,9994659
Employees,9994659
Customer,9994683
Project Management Professional course,9994683
Customer,9994685
Request,9994690
Case,9994690
Customer,9994696
Attempt,9994696
Customer with assigned roles in FMS,9994699
Customer,9994699
Follow-up,9994718
Skills Development Levy for 2023,9994718
Request reason,9994735
Request reason,9999305
Mandarin-speaking Customer Service Officer,9994735
Mandarin-speaking Customer Service Officer,9999305
Customer,9994735
Customer,9999305
Customer's Absentee Payroll funding,9994752
Customer,9994752
Computation query,9994753
Customer,9994753
Requester,9994757
Previous overpayment,9994757
Request,9994757
Customer,9994779
Notice of Objection form,9994787
Customer,9994787
Mdm,9994792
Boss,9994792
Employer,9994799
Customer,9994804
Customer,9994809
Action,9994809
Customer,9994813
Payment deadline,9994813
Course,9994813
Customer,9994819
Customer,9994826
Career health check form,9994826
Skills Development Levy 2023 case,9994832
Payment issues,9994832
Entity,9994832
Reason,9994835
Foreign trainees,9994835
Customer's colleague,9994839
Skills Development Levy payment,9994839
Customer,9994848
Customer,9994865
Attendance appeal cases,9994865
Absentee Payroll funding claim,9994878
Customer,9994878
Callback,9994879
Customer,9994879
Customer,9994895
Specific issue,9994904
Customer,9994904
Customer,9994917
Colleague of customer,9994917
Customer,9994932
Customer,9994953
Customer,9994956
Customer,9994966
Employer,9994967
Customer,9994994
Customer,9996350
Customer,9995041
Customer,9995050
Customer,9995053
Payment,9995058
Letter of demand,9995058
Customer,9995058
Customer,9995060
Payment,9995060
Company,9995069
Food Safety Course Level 1,9995089
Customer,9995102
Customer,9995106
Customer,10004760
Customer,9995126
Request,9995130
Trainee's digital attendance,9995130
Customer,9995143
Payment,9995147
Customer,9995147
Computation of attendance,9995148
Customer,9995148
E-certificate file,9995161
Customer,9995161
Customer,9995162
Customer,9995165
Customer,9995183
Submission process,9995183
Food hygiene courses,9995188
Customer,9995188
Customer,9995189
Customer,9995215
Customer,9995258
Contact details,9995258
Payment method,9995271
Customer,9995271
Institute of Banking and Finance,9995275
Precepts Academy,9995275
Customer,9995276
Customer,9995277
Customer,9995283
Notice of Objection,9995284
Skills Development Levy payable,9995284
Customer,9995284
Customer,9995289
Verification request,9995289
Customer,9995290
Payment method,9995290
Customer,9995292
Career Conversation Programme,9995292
Reimbursement,9995297
Customer,9995297
Course fees,9995297
Customer,9995319
Customer,9997786
Customer,9999966
Payment method,9995319
Payment method,9997786
Payment method,9999966
Payment,9995319
Payment,9997786
Payment,9999966
Customer,9995325
Customer,9997361
Customer,9997694
Customer,9997872
Customer,9999637
Customer,9995333
Customer,9995338
Customer,9995339
Customer,9995341
Employer McDonald,9995341
Course Application,9995343
Customer,9995343
Customer,9995348
Customer,9995350
Afifah,9995357
Customer,9995357
General inquiry,9995358
Customer contact details,9995365
Input,9995365
System,9995365
Customer,9995365
Customer,9995388
Customer,9995392
Customer,9995399
Customer,9995404
Customer,9995413
Regular payments,9995419
Customer,9995419
Payment,9995420
Customer,9995420
Customer,9995424
Error message,9995424
Request for explanation,9995427
Specific details,9995427
Requester,9995427
Customer,9995429
Discrepancy,9995431
Enquiry,9995431
Customer,9995433
Payment,9995433
Company,9995437
Calculator QR code,9995442
Director,9995442
Customer,9995460
Skills Development Levy,9995460
Company,9995464
Customer,9995467
Issue,9995480
Career Builder issue,9995480
Customer,9995496
Company,9995496
Customer,9995504
Customer,9995506
New initiatives,9995506
Customer,9995509
QR code scanning,9995509
Payment,9995515
Customer,9995515
Customer,9995521
Payment,9995523
Subsequent notice,9995523
Customer,9995523
Customer,9995529
Specific course,9995534
Customer,9995534
Customer inquiry,9995547
Customer,9995547
Customer,9995553
Customer's password,9995553
Customer,9995570
Rejection email,9995589
Customer,9995589
Individual,9995594
Overlooked enrolment,9995600
Appeal,9995600
Customer,9995613
Company,9995615
Customer,9995624
SkillsFuture Credits claim,9995624
Customer,9995625
Customer's SkillsFuture Credits claim,9995628
Customer,9995628
Customer,9995631
Interview scheduling,9995636
Inquirer,9995636
Job vacancy,9995636
Customer,9995641
Company,9995671
User,9995674
Customer,9995697
Customer,9995708
Absentee Payroll claim,9995708
Manual attendance uploads,9995718
Customer,9995718
Payment,9995722
Payment,9996173
Customer,9995722
Customer,9996173
Customer,9995725
Courses for Beauty Forever Learning Hub,9995736
Missing courses,9995736
Beauty Forever Learning Hub,9995736
Rejection,9995746
Customer,9995746
Query,9995746
Outstanding amount,9995759
Customer,9995759
Customer,9995767
Customer,9995965
Second reminder letter,9995767
Second reminder letter,9995965
Customer,9995768
Notice of Assessment,9995768
Training Allowance,9995774
Customer,9995774
Security duties course,9995774
Customer,9995784
Skills Development Levy for YA2023,9995784
Employer,9995793
Customer,9995794
Second reminder letter,9995794
Customer,9995812
Skills Development Levy payment,9995812
Customer,9995822
Customer,9995826
Customer,9995833
Course,9995833
Customer,9995836
Outstanding Skills Development Levy,9995843
Customer,9995843
Overpayment,9995843
Customer,9995848
GIM TAI CONSTRUCTION PTE. LTD.,9995857
Employer,9995862
Employer,9996244
Payment,9995862
Payment,9996244
Customer,9995864
Customer,9995867
Lack of access,9995868
Customer,9995868
Trainers,9995868
Customer,9995871
Customer,9995872
Update of registered address,9995874
New address,9995874
Request,9995874
Customer,9995875
Course,9995875
Issues,9995877
Customer,9995877
Customer,9995878
Payments,9995885
Customer,9995885
Customer,9995890
HR Manager from Elitez Group,9995891
Payment,9995898
Customer,9995898
Customer,9995899
Overpayment,9995900
Employer,9995900
Inquiry,9995903
Partner program,9995903
Customer,9995904
Funding,9995913
Customer,9995913
Appointment,9995915
Customer,9995915
Skills Development Levy,9995917
Customer,9995917
Customer,9995925
Jobseeker,9995934
Employer,9995937
Employer,9997019
Employer,9997491
Reimbursement for payment in lieu of notice,9995942
Non-payment notices,9995951
Payment,9995951
Customer,9995951
Payment method,9995961
Customer,9995961
Customer,9995971
Trainee ineligibility,9995971
Customer,9995972
Employer,9995980
Payment,9995991
Payment,9998532
Payment,9999320
Payment,9999354
Customer,9995991
Customer,9998532
Customer,9999320
Customer,9999354
Customer,9995993
Customer,9995996
Customer,9996003
Customer,9996006
Payment,9996006
Customer,9996011
Absentee Payroll grant,9996011
Payment status,9996013
Customer,9996013
Mr. <PERSON>,9996014
SkillsFuture Singapore EMP case,9996014
SkillsFuture Singapore EMP case,9996019
Company,9996020
Employer,9996021
Payment inquiry,9996025
Customer,9996025
Customer,9996029
Notice of Assessment reminder,9996029
Skills Development Levy amount,9996029
Mandarin-speaking customer,9996032
Customer,9996032
Payment,9996036
Mandarin-speaking customer,9996036
Customer from AEDGE SERVICES PTE. LTD.,9996046
Notice of Objection,9996046
Notice of Objection for Skills Development Levy 2023,9996046
Company,9996062
Husband,9996069
Customer,9996069
Payment notice,9996069
E-Attendance tile status,9996075
Upload of attendance,9996075
E-Attendance tile,9996075
Customer,9996078
Customer,9996080
Customer,9996081
Customer,9996083
Company-sponsored trainee,9996091
Customer,9996098
Customer,9996103
Manual upload function,9996103
Customer,9996110
Customer,9996111
Customer in late 70s,9996111
Customer,9996125
Customer,9996240
Customer,9996263
Customer,9996318
Customer,9996333
Customer,9996129
Customer,9996131
Customer from Gethsemane Bible Witness Limited,9996131
Customer,9996134
Customer,9998995
Customer,9999913
Student,9996159
Failure,9996159
Customer,9996167
Master of Science in Supply Chain Management at NUS,9996167
Employer,9996184
Employer,9996521
Employer,9999226
Employer,9999241
Employer,9999485
Customer,9996185
Customer,9996202
KKKL Travel & Tours,9996211
Customer,9996212
Reminder notice,9996216
Reminder notice,10001072
Customer,9996216
Customer,10001072
Customer,9996221
Clarification request,9996221
Career Advisory appointment,9996223
Customer,9996223
Customer,9996228
Customer,9996230
Customer,9996233
Customer,9996237
Customer,9996238
Notice of Objection,9996238
Inquirer,9996241
Study possibility,9996241
Skills Development Levy payment,9996243
Customer,9996243
Total remuneration,9996247
Customer,9996247
New company owner,9996269
Customer,9996277
Customer,9997538
Payment,9996281
Customer,9996281
Phone appointment,9996292
Customer,9996292
Customer,9996301
Course creator,9996306
Requester,9996308
Customer,9996309
Cheque,9996309
Payment method,9996309
Cancellation,9996311
Company,9996311
Company's Absentee Payroll disbursement,9996311
Payment,9996316
Communication,9996316
Customer,9996323
Training administrator,9996331
HR,9996331
Incorrect 'no vacancy' notice,9996363
Customer,9996363
Update request,9996363
Previous feedback,9996363
Absentee Payroll funding claim status,9996372
Absentee Payroll funding claim,9996372
Customer,9996372
Customer,9996379
Customer,9996382
Customer,9996392
Manual attendance upload issue,9996399
Issue,9996399
Requester,9996399
Customer,9996400
Course run session,9996404
Appeal,9996404
Customer,9996413
Search option,9996413
Customer,9996415
Payment,9996416
Reminder letter,9996416
Customer,9996416
Customer,9996418
Customer,9996423
Customer,9996429
Company,9996435
Seniors without mobile apps,9996446
Customer,9996446
Old Singpass passwords,9996446
Customer,9996447
Customer,9996454
Notice of Assessment,9996454
Discrepancy,9996456
HR payroll software records,9996456
Customer,9996456
Job posting access,9996463
Customer,9996463
Customer,9996464
Customer,9997970
Customer,9998133
Customer,9998197
Customer,9998288
Customer,9998440
Customer,9998447
Customer,9998511
Customer,9996470
Customer,9996477
Payment details,9996478
Reminder letter,9996478
Customer,9996478
Employee from SHIMADZU (ASIA PACIFIC) PTE LTD,9996483
Customer,9996493
Reminder,9996504
Customer,9996506
Payment,9996506
Customer,9996525
Customer,9996532
Customer,9998224
Customer,9998333
Customer,9996535
Payment,9996535
Customer,9996544
Customer,9996802
Reminder,9996544
Reminder,9996802
Company address update,9996550
Customer,9996550
Customer,9996560
PayNow payment,9996560
Funding,9996567
Inquiry,9996567
Client,9996585
Customer,9996589
Customer,9996594
Details,9996594
Customer,9996595
Customer,9996602
Customer,9996604
Employer,9996613
Course,9996614
Customer,9996614
Inquiry,9996614
Issue,9996620
Customer's client,9996620
Customer,9996620
Customer,9996621
Customer,9996625
Mandarin-speaking customer,9996625
Skills Development Levy payment,9996633
Customer,9996633
Friend,9996641
Mr. David,9996641
Address update,9996643
Requester,9996643
Customer,9996645
Customer's phone,9996645
Employer,9996688
Customer,9996689
Providing monthly salary and weekly hours,9996695
Seeker,9996695
Courses,9996695
Customer,9996710
Customer,9996712
Customer,9996722
Company name change,9996730
Customer,9996730
Missing payouts,9996731
Customer,9996731
Customer,9996733
Full certificate,9996733
Customer,9996734
Customer,9996755
New coaching appointment,9996755
Notice of Objection submission,9996768
Customer,9996768
Payment,9996770
Customer,9996770
Hiring by employer,9996779
Employer,9996779
Environment Control Officer course,9996782
Customer,9996782
Self-employed boss,9996784
Customer,9996784
Skills Development Levy letter,9996784
Customer,9996785
Outstanding amount,9996785
Customer,9996786
Customer,9996787
SGUnited Mid-Career Pathways Programme,9996790
Customer,9996790
Reason for inquiry,9996795
Customer,9996795
Payment method,9996795
Customer,9996805
Customer,9996810
Customer,9996811
Customer,9996812
Customer,9996813
Refund,9996819
Customer,9996819
Daphne Phua,9996820
Customer,9996820
Customer,9996821
Absentee payroll,9996821
Jobs application,9996824
SingPass,9996824
Audiovisual engineer from Spain,9996824
Prep Zone Academy,9996833
Customer,9996835
Customer,9996836
Telephone Operator courses,9996836
Customer,9996845
Payment method,9996845
Page,9996851
Customer,9996851
Customer,9996852
Customer,9996854
Customer,9996862
Customer,9996870
Monthly contributions,9996871
Notice of Assessment,9996871
Customer,9996871
Request,9996879
Customer,9996880
Customer,10019335
Customer,9996887
Customer,9996900
Notice of Assessment,9996900
Inquiry,9996904
Customer,9996904
Customer,9996911
Repeated logouts,9996911
Regular monthly payments,9996916
Skills Development Levy notice,9996916
Director of Jalandhar Sc Pte Ltd,9996916
SkillsFuture Singapore,9996934
IRAS,9996934
Customer,9996934
Customer,9996939
Disbursements,9996939
Customer,9996942
Clarification,9996942
Trainees,9996951
Customer,9996951
Customer,9996956
Customer,9996964
Reminder letter,9996964
Monthly contributions,9996974
Customer,9996974
Central Provident Fund EzPay,9996974
Issue,9996979
Customer,9996979
Subsequent correspondence,9996988
Payment,9996988
Customer,9996988
Issue,9996989
Course,9996989
Case,9996989
Payment,9996994
Employer,9996994
Customer,9996999
Available programmes,9996999
Customer,9997003
Eligibility inquiry,9997004
Customer,9997004
Customer,9997005
Recipient,9997009
Customer,9997012
Customer,9997013
Funding eligibility status,9997015
Customer,9997015
Skills Development Levy calculation,9997016
Customer,9997016
Training provider,9997023
Customer,9997023
Customer,9997025
Customer,9997036
Customer,9997047
Funding information,9997047
Customer,9997050
Notice of Assessment,9997051
Customer,9997051
Customer,9997053
Customer,9997054
Customer,9997057
Payment method,9997057
Company,9997060
Customer,9997061
Customer,9997726
Careers Connect On-The-Go (CCOTG) program,9997061
Careers Connect On-The-Go (CCOTG) program,9997726
Payment method,9997063
Customer,9997063
Customer,9997070
Customer,9997071
Employer,9997076
Two students,9997085
Reason,9997085
Payment method,9997089
Customer,9997089
Learner,9997094
Issue,9997094
Customer,9997096
Payment,9997096
"""Xero Accounting System for Small and Medium Enterprises"" course",9997105
Customer,9997105
Customer,9997106
Specific modules,9997106
Customer,9997111
Customer,9997117
Customer,9997119
SkillsFuture Singapore,9997119
Customer,9997125
Customer,9997126
Case,9997130
Specific details,9997130
Sally,9997130
Customer in Career Conversion Programme for Advanced BioPharmaceutical Manufacturing,9997134
SPass application,9997136
Customer,9997136
Job posting edits,9997136
Customer,9997141
Course,9997146
Customer,9997146
Payment,9997149
Customer,9997149
Customer,9997167
Careers Connect On-The-Go event,9997168
Customer,9997168
Notification,9997174
Customer,9997175
Customer,9997178
Trainee,9997180
Customer,9997180
Customer,9997183
Wrong UEN entry,9997185
Customer,9997185
Payment,9997185
Customer,9997187
Customer,9997192
Payment,9997195
Customer,9997195
Customer,9997196
Discrepancy,9997205
Customer,9997205
Customer,9997217
Company,9997218
Automated vacation response,9997219
Recipient,9997219
Customer,9997226
Payment methods and address,9997230
Customer,9997230
SkillsFuture Singapore,9997230
Customer,9997231
Customer,9997236
Employer,9997236
Customer,9997266
Payment,9997267
Customer,9997267
Inquiry,9997267
Participation requirement,9997275
Customer,9997275
Employer,9997279
Case,9997279
Absentee Payroll claim,9997279
QR code generation attempt,9997280
Error,9997280
Customer,9997280
Customer,9997281
Customer,9997282
Appointment,9997282
Customer,9997287
Pending case,9997287
Customer,9997288
URL link,9997288
Roles,9997302
Programme Partners,9997302
Customer,9997302
Payment,9997303
Customer,9997303
Customer,9997308
Previous case,9997311
Customer,9997311
Hold time,9997313
Customer Service Officer,9997313
Customer,9997314
Husband's food hygiene certificate,9997314
Husband,9997314
Customer,9997316
Customer,9997317
Customer,9997323
Customer,9997333
Customer,9997336
Customer,9997347
Customer,9997352
Customer,10000512
Customer,9997355
Customer,9997358
Update on payment status,9997358
Lack of QR code,9997360
Lack of QR code,9997375
Lack of QR code,9997436
Customer,9997360
Customer,9997375
Customer,9997436
Career Builder - SkillsFuture Singapore EMP program,9997363
Customer,9997367
Customer,9997583
Customer,9998975
Payment,9997367
Payment,9997583
Payment,9998975
Customer,9997376
Customer,9997377
Customer,9998089
Customer,9998420
Customer,9998977
Customer,9999089
Greeting attempts,9997377
Greeting attempts,9998089
Greeting attempts,9998420
Greeting attempts,9998977
Greeting attempts,9999089
Customer,9997384
Customer,10013687
Company payroll records,9997384
Company payroll records,10013687
Trainee,9997387
Customer,9997387
Customer,9997388
Customer,9997936
Payment method,9997388
Payment method,9997936
Skills Development Levy for YA2023,9997388
Skills Development Levy for YA2023,9997936
Customer,9997391
Inquiry context,9997413
Customer,9997413
Customer,9997421
Email,9997421
Customer,9997422
Jobseeker,9997428
Recruiters,9997428
Company owner,9997430
System,9997430
Customer,9997447
Customer,9997454
Employee,9997469
Absentee payroll,9997469
Customer,9997469
Customer,9997477
Skills Development Levy payment,9997477
Customer,9997509
Appeal reason,9997509
Technical issue,9997513
Customer,9997513
Customer,9997523
Trainees,9997527
Customer,9997527
Customer,9997530
CorpPass role assignment approval,9997530
Assessment submission timeline,9997532
Appeal,9997532
Employer,9997535
Individual,9997544
Customer,9997545
Customer,9997547
Customer NRIC,9997547
Customer,9997552
Customer,9997556
Customer's absentee payroll funding,9997556
Customer,9997564
Customer,9997742
Rejection,9997566
Customer,9997566
Customer,9997567
Customer,9997570
Discrepancies,9997570
Employee,9997578
Employer,9997578
Certificate,9997578
Customer,9997593
New address,9997594
Skills Development Levy bill,9997594
Request,9997594
Training provider,9997605
Customer,9997605
$500 SkillsFuture Credit,9997605
Customer,9997607
Customer,9997611
Request to amend hours,9997620
Customer,9997620
Customer,9997630
Customer,9997636
Customer,9997653
Survey,9997653
Specific course,9997673
Customer,9997673
Student,9997691
Student's attendance,9997691
Synchronous e-Learning session,9997691
E-Attendance Singpass QR Code,9997699
Scanning prevention,9997699
Blank page display,9997699
Customer,9997703
Employer,9997703
Customer,9997706
Customer,9997725
PayNow reference field requirement,9997725
Customer,9997732
Employer,9997749
Previous overpayment,9997749
Funding,9997759
Customer,9997759
Course,9997759
Customer,9997764
Course location,9997764
Customer,9997768
Customer,9997780
Customer,9997781
Customer,9997791
Customer,9998885
Reminder,9997791
Reminder,9998885
Customer,9997800
Notice of Assessment for Skills Development Levy,9997800
Singapore Eye Research Institute,9997803
Reminder letter,9997803
Customer,9997805
Company,9997808
Payment,9997808
Customer,9997823
Case description,9997836
Case,9997836
Customer,9997840
Payments,9997840
Payments made,9997840
Customer,9997847
Customer,9997866
Nursing course,9997867
Customer,9997867
Customer,9997870
Customer service call,9997870
Customer,9997874
Person,9997875
Customer,9997875
Notice of Assessment reminder,9997900
Notice of Objection,9997900
Customer,9997914
Mandarin-speaking customer,9997914
Customer,9997917
Exam,9997917
Customer,9997921
Customer,9997928
Payment method,9997929
Customer,9997929
Payment,9997929
Request reason,9997938
Mandarin-speaking Customer Service Officer,9997938
Customer,9997938
Student,9997939
Customer,9997942
Customer,9997955
Absentee Payroll grant,9997973
Customer,9997973
Customer,9998003
Customer,9998024
eAttendance sign-in issues,9998031
Participants,9998031
Trainer,9998031
Accreditation body's name,9998055
Reference,9998055
Request,9998055
Customer,9998077
Purpose of login,9998077
Login method,9998077
Customer,9998078
Customer from Flying Media Pte Ltd,9998078
Customer,9998085
Customer,9998087
Trainee,9998088
Course,9998088
Customer,9998092
Customer,9998099
Customer,9998110
Mandarin-speaking customer,9998110
Issues with Singpass,9998116
Delegate,9998116
Employer,9998153
Customer,9998195
Customer,9998211
Trainee,9998212
Attendance scanning failure,9998212
Customer,9998212
Customer,9998231
Reminder letter,9998249
Customer,9998249
Customer,9998251
Course run,9998259
Customer,9998259
Course,9998259
Customer,9998274
Issue,9998277
Assistance,9998277
Customer,9998280
Payment method,9998280
Security course,9998303
Security course,10019269
Customer,9998303
Customer,10019269
Customer,9998305
Customer,9998308
Customer,9998319
Amounts approved and credited,9998319
Customer,9998339
Absentee Payroll grant,9998356
Customer,9998356
Customer,9998373
Training provider,9998373
Remaining lesson,9998373
Funding,9998382
Local company,9998382
Customer,9998393
Course,9998393
Assistance request,9998394
Customer,9998394
Trainee,9998396
Statement of Attainment,9998396
Inquirer,9998396
Customer,9998401
Reminder,9998401
Customer,9998412
Customer,9998421
Customer,9998430
Employer,9998433
Affected party,9998443
Submission of attendance,9998443
Absentee Payroll grant,9998445
Employer,9998445
Overpayment case,9998472
Customer,9998472
Customer,9998478
Name and logo hiding,9998478
Customer,9998495
Customer,9998502
Certificate,9998505
Customer,9998505
Customer,9998507
Customer,9998549
Proof of payment,9998549
Client's company,9998573
Documents,9998573
Customer from an accounting firm,9998573
SkillsFuture Credit claim,9998579
Customer,9998579
Misleading information,9998585
Customer,9998585
No Wrong Door initiative,9998588
Customer,9998588
Inquiry,9998588
Job applicant,9998590
Incorrect attendance score,9998597
Trainee,9998597
Trainee's attendance score,9998597
Customer,9998597
Issue,9998599
Customer,9998599
Ricky Chan,9998616
Case,9998616
Reason for deletion,9998631
Make-up sessions,9998631
Customer,9998631
Reason for appeal,9998636
Customer,9998636
Customer,9998658
Bank advice,9998673
Customer NRIC,9998709
Customer,9998709
Customer,9998711
Eligibility inquiry,9998711
Notice of Assessment,9998721
Customer,9998721
Customer,9998733
Occupational First Aid session,9998769
Trainee's attendance,9998769
Technical issues and lack of SingPass app access,9998796
Participants,9998796
Inquiry,9998827
Customer,9998827
Permanent resident learner,9998870
Urgent inquiry,9998870
Initial calculations,9998870
Customer,9998894
"New Singapore citizen, aged 25",9998922
Company,9998965
Evangeline from New Chapter,9999021
Customer Service,9999078
Customer,9999078
Peggy Tan,9999083
Case,9999083
Unpaid internships,9999119
Customer,9999119
Callback,9999120
Customer,9999120
Customer,9999150
SkillsFuture Singapore,9999150
Customer,9999155
Customer,9999175
Reminder,9999175
Customer,9999199
Customer,9999215
Request,9999218
Customer,9999230
Candidate,9999235
Appeal,9999235
Appeal,9999240
Customer,9999240
Error,9999274
Trainee,9999274
Attendee,9999278
Unable to log into SingPass,9999278
SkillsFuture Singapore,9999325
Notice of Assessment,9999337
Customer,9999337
Customer,9999349
Calls,9999373
Customer,9999373
Skills Development Levy for 2023,9999393
Bug,9999406
Expired survey link,9999438
Customer,9999438
Reason,9999456
Customer,9999456
Editing option,9999466
Customer,9999466
Customer,9999496
Customer,9999508
Customer,9999511
Customer,9999532
Callback,9999556
Callback reason,9999556
Customer,9999556
Customer,9999564
Customer,9999594
Logos,9999594
Customer,9999601
Customer,9999608
Customer,10006611
Customer,10015082
Customer,10016142
Customer,10018985
Customer,10020393
Customer,9999654
Paid invoice,9999654
Mandarin speaking officer,9999671
Customer,9999671
Customer,9999681
Issues,9999716
Manual attendance upload,9999716
ITE,9999716
Reason for cancellation,9999735
Customer,9999735
Phone coaching appointment,9999735
Minor,9999739
Requester,9999739
Customer,9999781
System,9999833
WiFi,9999833
QR code appearance,9999833
QR code,9999833
Manual attendance,9999833
Customer,9999856
System error,9999886
Attendee,9999886
Customer,9999976
SkillsFuture Credits claim,9999979
Customer,9999979
Customer,9999984
Payment,9999984
Customer,9999989
Customer,10000012
Customer,10000036
Aestheticar Pte Ltd,10000045
Customer,10000058
Issue,10000058
Customer,10000123
Appellant,10000145
Trainee and grant funding,10000145
User,10000163
Editing session details,10000163
Temporary workaround,10000163
Training Provider Gateway,10000165
Course session dates,10000165
Customer,10000234
Senior attendees,10000234
Customer,10000260
Mandarin-speaking customer,10000293
Payment,10000324
Customer,10000337
incorrect eAttendance,10000358
Appeal,10000358
Singpass QR code issues,10000358
Work-Study Programme course,10000358
Customer,10000399
Customer,10000521
Customer,10000744
Company,10000874
Customer,10000920
Customer,10000930
Company,10000930
Reminder letter,10000962
Customer,10000962
Customer,10001032
Course grants,10001093
Customer,10001093
Customer,10001100
Customer,10001137
Reason,10001250
Issue,10001250
Request,10001250
Trainee,10001250
Review button,10001305
Action,10001305
Customer,10001305
Rejection,10001367
Customer,10001367
Absentee Payroll Funding,10001367
Unavailable QR code,10001381
Students in Course Run ID,10001381
QR code,10001381
Trainees,10001397
Trainees,10010577
Trainees,10010583
Trainees,10018170
Trainees,10018181
Trainees,10019965
Result,10001397
Result,10010577
Result,10010583
Result,10018170
Result,10018181
Result,10019965
Unrecorded full attendance,10001397
Unrecorded full attendance,10010577
Unrecorded full attendance,10010583
Unrecorded full attendance,10018170
Unrecorded full attendance,10018181
Unrecorded full attendance,10019965
Issue,10001397
Issue,10010577
Issue,10010583
Issue,10018170
Issue,10018181
Issue,10019965
Appeal,10001397
Appeal,10010577
Appeal,10010583
Appeal,10018170
Appeal,10018181
Appeal,10019965
Inquirer,10001443
Learner's attendance scan,10001467
Customer,10001578
Customer,10001613
Notice of Objection,10001613
Trainee,10001639
Customer,10001639
Trigon International (S) Pte Ltd,10001724
Session,10001737
Appeal,10001737
Learner,10001737
Two students,10001750
Customer,10001773
Coaching appointment,10001773
Customer,10001802
Job post,10001802
Manual attendance submission,10001836
Request,10001836
Call,10001846
Customer,10001877
Reason for cancellation,10001907
Customer,10001907
Trainees,10001915
Attendance,10001915
Customer,10001924
Customer,10002062
Waiver approval,10002062
Person,10002101
Payment,10002114
Customer,10002114
Attendance confirmation,10002152
Class,10002152
Attendee,10002152
Absentee Payroll grants,10002192
Courses cancellation,10002192
Customer,10002192
Clarification,10002315
Assessment status in Grant Tile,10002315
Assessment status in Manage Assessment,10002315
Assessment status for a trainee,10002315
Training Allowance disbursement,10002332
Workfare Skills Support recipient,10002332
Customer,10002337
Appeal,10002384
Customer,10002396
One employee,10002396
Customer,10002538
Customer,10002545
Previous administrator,10002545
Course administrator,10002545
Hawker store,10002591
Customer,10002591
Customer,10002637
Error message,10002663
Customer,10002663
Customer,10002851
Attendance upload,10002881
Requester,10002881
QR codes,10002885
System failure,10002885
Request,10002885
Customer,10002930
QR code scanning,10002938
Trainees,10002938
Trainee,10002970
Issue,10002970
Appeal,10002970
Notice of Assessment,10003178
Customer,10003178
Learners,10003180
Assistance,10003180
Payment proof submission,10003212
Customer,10003212
Customer,10003260
Customer,10003287
Disbursements,10003287
Trainee,10003304
Request,10003335
Two trainees,10003335
Others,10003335
Loading issues,10003414
User,10003414
Funding amount changes,10003452
Clarification,10003452
Customer,10003476
2017 case,10003476
Customer,10003528
Objection,10003562
Customer,10003562
Customer,10003596
Career Ignite event,10003596
Inquirer,10003624
Customer,10003632
Customer with FIN number,10003632
Payment advice,10003735
Payment,10003735
Customer from GEOMATE POSITIONING PTE. LTD.,10003735
Funding,10003783
Relevant enrolment information,10003783
Customer,10003783
Tahseen Gani,10003794
Customer,10003884
Customer,10004026
Attendance upload,10004074
Requester,10004074
Reasons,10004087
Commitment,10004087
Appeal,10004087
Increased subsidies,10004102
Appeal,10004102
Foreigners,10004102
Employer,10004148
Workshop,10004234
Physical attendance,10004234
Request,10004234
Customer,10004427
Full qualification,10004427
Trainee,10004437
Appeal,10004437
Workshop participant,10004466
Manual attendance upload instructions,10004466
XIAO WEI BEAUTY SPA,10004836
Customer,10004836
Appeal,10004903
Trainee,10004903
Trainee,10004908
Inability to use Singpass e-attendance,10004908
Company,10004959
Payment,10004959
Customer,10004973
Learners,10005046
Learner 1,10005046
Learner 2,10005046
Request,10005046
Reason for cancellation,10005117
Customer,10005117
Customer,10005259
Customer,10005508
Possible expired CCF,10005543
GST and course fee amounts,10005543
Issue,10005543
Customer,10005543
Certificate record,10005550
Customer,10005550
Customer's SkillsFuture Credits claim,10005592
Customer,10005592
Reason for withdrawal,10005747
Customer,10005747
Customer,10005869
Technical issue,10006087
Inquirer,10006087
Inquiry,10006087
Training provider,10006203
Customer,10006203
Absentee Payroll payments,10006236
Requester,10006236
Customer,10006399
Employer,10006472
Training provider,10006472
Absentee Payroll rejections,10006571
Methodist Welfare Services,10006659
Reminder,10006729
Customer,10006729
Reason,10006740
Appeal submitter,10006740
Appeal,10006740
Customer,10006795
