subject,predicate,object
Assistant Registrar,inquires_about,Edutrust Star certification status
Diploma in Pre-school Education – Teaching,offered_by,International Centre for Early Childhood Education
Customer,inquires_about,expiry of SkillsFuture Credits
Customer,inquires_about_eligibility_for,job-relevant courses only
Customer,reports,not receiving a call as of 4:09pm
Customer,scheduled_for,phone appointment with a Career Officer at 4pm
Training,does_not_appear_in,pending process list
Customer,unable_to_submit,training claim manually for SkillsFuture Enterprise Credit
Attached file,for,Skills Development Levy Outreach Phase 1B payment
Skills Development Levy Outreach Phase 1B payment,sent_for,processing
LCT - IND Workforce Singapore case,involves_individual_named,WEI CHIN
Customer,concerned_about,possible double payment
Customer,received,Absentee Payroll payments for the same course and trainees from different sources
Sync issues,affecting,course run creation in Training Provider Gateway for CET Diploma Courses
SP,reports,STEP API sync issues
SP,requests_permission,to sync course runs post-start date
Customer's client,is_a,driver for Tada
Officer,requested,screenshot of start date
Customer's client,to_provide,screenshot of start date
Customer,inquires_about_eligibility_for,SkillsFuture credit for a real estate course
Customer,requests_information_on,applicable agencies for claiming SkillsFuture credit
Customer,requests_information_on,how to claim the career transition credit
Customer,asks_if_includes,Additional SkillsFuture Credits for mid-career support
Customer,confirmed_payment_for,Skills Development Levy 2023
Payment,made_in,Oct-22
Customer,inquires_about,required corppass role for submitting a Notice of Objection
Trainee,not_qualifying_for,Mid-Career Enhanced Subsidy
Ineligible grant,received_for,a trainee
KLC International Institute,seeks_guidance_on,refunding an ineligible grant
Trainee,was_holder_of,SPR
Customer,inquired_about,eligibility criteria for Absentee Payroll funding
Absentee Payroll funding eligibility,questioned_if_limited_to,local citizens
Customer,inquires_about,meaning of Notice of Assessment
Customer,inquires_about,sources of Notice of Assessment
Customer,inquires_about_possibility_of,submitting a Notice of Objection
Notice of Assessment,is_related_to,Skills Development Levy
Customer,missed_call_from,agent
Customer,unable_to_contact,agent for career guidance
Customer,mentions_discrepancies_with,their payroll and payments made via Central Provident Fund EZ pay
Customer,queries,calculation of the Skills Development Levy outstanding amount
Absentee Payroll grant,from,Enterprise Jobs and Skills Portal
Customer,inquired_about,legitimacy of an email
Email,notifies_rejection_of,Absentee Payroll grant
Customer,inquires_reason_for,receiving notification of claim rejection
Customer,received_email_from,SkillsFuture Singapore
Email content,states,Absentee Payroll claim was rejected
Clarification sought,mentioned_in,Notice of Objection
Customer,questions,example provided in the manual
Customer,seeks_clarification_on,calculating Skills Development Levy for local and foreign employees
Customer,asks_if_applies_to,foreigners
Customer,questions_necessity_of,Skills Development Levy Notice of Assessment
Customer,has_correct_role_assigned_by,Corppass Admin
Corppass account,has_error,suspension
Customer,unable_to_submit,Notice of Objection
Employer,cannot_access,microsite to lodge a Notice of Objection
Customer,inquires_about,refund procedures for an overpayment
Employer,is_inquiring_about,how to find the reason for rejection
Employer,received,rejection notification for an Absentee Payroll grant
Customer,inquired_about,course funding under the No Wrong Door policy
Customer,inquires_about,Assessment Only Pathway (AOP) course
Customer,requests,list and details of cleaning courses on MySkillsFuture
Customer,received_notification_for,grant rejection
Grant rejection,related_to,specific course
Customer,requests,reason for grant rejection
Customer,inquired_about,email concerning rejection of Absentee Payroll
Absentee Payroll,rejected_through,Enterprise Jobs and Skills Portal
Inquiry,follows,completing salary declarations
Customer,inquires_about,pending declarations and timelines
Customer,inquires_about_status_of,Absentee Payroll funding applications on the Enterprise Jobs and Skills Portal
Customer,is_unclear_about,purpose of the email
Customer,is_unclear_about,required actions from the email
Customer,received,an email
Customer,inquired_about_status_of,her SkillsFuture Credits
Customer,inquires_about,payment requirements after lodging a Notice of Objection
Notice of Objection,lodged_following,receipt of the Skills Development Levy Notice of Assessment
Customer,is_inquiring_about,reason for the rejection
Customer,received,rejection email from SkillsFuture Singapore regarding Absentee Payroll
Customer,inquires_about,how to object to the Notice of Assessment
Customer,received,outstanding Skills Development Levy notice
Training provider,informs,Customer about potential blacklist status
Customer,inquires_status_regarding,using SkillsFuture Credits for a textile course
Customer,potentially_blacklisted_from,using SkillsFuture Credits
Rejection of Absentee Payroll grants,from,Enterprise Jobs and Skills Portal
Customer,received_email_about,rejection of Absentee Payroll grants
Customer,inquired_about,salary support and application procedures
Inquiry,pertains_to,New Part-Time Re-Employment Grant
Inquiry,pertains_to,Career Conversion Programmes for employers
Payments,made_to,Central Provident Fund Board
Customer,notes,system rounding discrepancies in payments
Customer,queries_about,Skills Development Levy computation for 2022
Current policy,contrary_to,Customer situation
Customer,inquires_about,alternative disbursement methods for Absentee Payroll funding
Customer,lacks,Corporate PayNow registration
Current policy,outlined_in,user guide
User,can_log_into,SkillsFuture Enterprise Credit
User,can_view,claim amounts
User,cannot_process,claims due to invalid permissions
User,requests,guidance
Applications,for,Healthcare: Career Conversion Programme for Allied Health Professionals
Customer,inquires_about,necessity of applications to both SIT and Workforce Singapore
Absentee Payroll Declaration,is_relevant_for,Workfare Skills Support across multiple months
Customer,seeks_guidance_on,filling out 'basic salary' and 'hours worked' for part-timers in Absentee Payroll Declaration
Customer,receives,multiple rejection emails for absentee payroll grants
Error,states,ineligibility for SkillsFuture Enterprise Credit
Customer,unable_to_access,Enterprise Jobs and Skills Portal
Customer,completes_courses_at,Lifelong Learning Institute
Customer,seeks_assistance_for,viewing certificates on SkillsPassport
Customer,unable_to_view,certificates on SkillsPassport
Trainee,inquires_impact_on,grant eligibility
Trainee's scanned attendance,was_rejected_for,an assessment session
Customer,inquired_about_availability_of,Skills Development Levy portal
Customer,is_inquiring_about,reason for rejection
Customer,is_inquiring_about,necessary actions
Customer,received,rejection email for an Absentee Payroll grant
Customer,makes_payments_via,CPF EZPay
Customer,received_notice_for,outstanding Skills Development Levy
Customer,seeks_clarification_on,how figures are derived
Customer,inquires_how_to,check the details of these rejections
Customer,received,multiple emails about the rejection of Absentee Payroll grants for 2021 courses
Customer inquiry,concerns,amount consistency
Customer,inquired_about,Skills Development Levy for 2023
Customer inquiry,questions_how_to,indicate the payment period for the levy
Customer inquiry,seeks_information_on,potential penalties
Request,for,Mandarin-speaking SkillsFuture Singapore EMP
Mandarin-speaking SkillsFuture Singapore EMP,requested_by,HUA HUAT ENGINEERING
Absentee Payroll grants,for,courses attended by employees in 2021
Customer,inquires_about,rejection of Absentee Payroll grants
Customer,receives_emails_from,SkillsFuture Singapore
Customer,inquires_about,computation of the Skills Development Levy 2023
Customer,requests,future correspondence to new mailing address
Customer,inquired_about,driving license issue
Customer's call,dropped_after,selecting Mandarin speaking option
EMILY,associated_with,LCT SkillsFuture Singapore
EMILY,is_EMP_contact_for,FABTEC ASIA ENGINEERING PTE. LTD.
Customer,receives_error_message_about,ineligibility for Additional SkillsFuture Credit (Mid-Career Support)
Customer,unable_to_submit_claim_for,bread baking course on MySkillsFuture
LCT SkillsFuture Singapore EMP case,involves_contact_from,THE DRAWING BOARD (S) PTE LTD
Understanding purpose,for,skills enhancement
Human Capability Development Program from Saudi Arabia,requests,online meeting with SkillsFuture
Human Capability Development Program,wants_to_understand,SkillsFuture model and entity establishment
Requester,requests_details_for,Project Management Professional Synchronous e-learning
Requester,requests_reason_for_rejection_of,Project Management Professional Synchronous e-learning
Customer,inquires_about,delays and rejections in processing Absentee Payroll claims
Absentee Payroll claims,processed_on,Enterprise Jobs and Skills Portal
Customer,seeks,reasons for the issues
Caller,experiences,drop call issue
Caller,unable_to_hear,anything from the other end
Funding,for,specific course on workplace safety and health
Specific course,offered_by,National Trades Union Congress LearningHub
Customer,seeks_explanation_for,rejection of funding
Appeal,related_to,Career Trial Programme
Mr. <PERSON>,seeks_help_from,Workforce Singapore
Mr. <PERSON>,to_appeal_for,his pay from Tech Couturier Pte Ltd
Customer,is_unsure_about,amount to input for SkillsFuture Credit claim submission
Customer,received_email_about,rejection of absentee payroll grants for a specific course
Customer,seeks_clarification_on,rejection reasons
Customer,inquires_about,reason for the rejection of Absentee Payroll
Inquiry,references,"email dated October 19, 2023"
Self-sponsored registration,faced,grant rejection
Registrant,requests_clarification_on,reason for grant rejection
Customer,inquires_about_obtaining,documents related to the EDUTRUST certification and logo usage
Customer,represents,Nanyang Institute
Absentee payroll grants,for_course_on,Hedging & Management of Energy Price Risk
Customer,inquires_about,rejection of absentee payroll grants
Customer,seeks,clarification and steps to address the issue
SkillsFuture Credit support,for_course,Real Estate Business at Ngee Ann Polytechnic
Customer,inquires_about,additional SkillsFuture Credit support
Course,listed_under,MySkillsFuture
Customer,inquires_eligibility_of,Wine Course at Peace Centre for Additional SkillsFuture Credits (Mid-Career) claim
All employees,accounted_for_in,contributions
Customer,questioned,derivation of amount
Customer,questioned_derivation_of,outstanding Skills Development Levy amount
e-Certificate details,for_purpose_of,downloading
Customer,requested_verification_of,e-Certificate details
Notice of Objection,based_on,Notice of Assessment
Customer,cannot_find,designated URL to proceed
Customer,seeks_to_file,Notice of Objection
Customer,enquires_about,rejection of Absentee Payroll
Customer,requests,further information on the issue
Application,for,Career Conversion Programme
Customer,inquiring_about,reason for application rejection
Customer,received,email notification of rejection
Customer,inquired_about,contributing to the Skills Development Levy up to 2023
Customer,inquired_about,eligibility criteria for the Career Conversion Programme
Customer,inquired_about,application process for the Career Conversion Programme
Career Conversion Programme,under,Infocomm Technology
Absentee Payroll grant,for_course_held_on,"February 16, 2022"
Employer,reports_receiving,email about rejection of Absentee Payroll grant
Absentee Payroll grant,status,rejected
SkillsFuture Singapore,calculated,Skills Development Levy amount
Customer,inquires_about,calculation of Skills Development Levy amount
Customer,queries_discrepancy_in,Skills Development Levy instruction manual
Discrepancy,regards,number of foreign employees earning up to $800 in example provided
Training Provider,reports,enrolment error
Training Provider,reports_lack_of,assistance from service portal helpdesk
Training Provider,requests_expedited_help,as enrolment deadline approaches
Monthly automatic payments,include,foreign worker levy payments
Customer,queries_receiving,Skills Development Levy Notice of Assessment
Skills Development Levy Notice of Assessment,received_despite,monthly automatic payments via Central Provident Fund EzPay
Customer,notified_of,$0.50 shortfall
System,previously_rounded,down the total
Customer,queries_change_in,rounding policy for Skills Development Levy
Customer,requests_urgent_clarification_for,change in rounding policy
Customer,attended,course
Customer,cannot_select,correct date in the system
Customer,wishes_to_appeal,SkillsFuture Credit claim
Customer's company,inquires_about,possibility of appealing the decision
Customer's company,received,rejection email for Absentee Payroll grants from SkillsFuture Singapore
Customer,inquires_about,trainee's funding eligibility for a specific course run
Specific course run,located_in,Training Provider Gateway
Customer,attempts_to_return_call,unsuccessful
Customer,received_missed_call_from,"Chandra, the overall in charge"
Customer,requests,callback
Customer,inquires_about,refund acceptance for Skills Development Levy
Company's PayNow,potential_receiver_of,refund for Skills Development Levy
Customer,inquires_about,eligibility criteria for Workfare Skills Support
Customer inquiry,concerns,potential scam
Customer,inquired_about,using Singpass to access MyCareersFuture portal
Attendance record,for,specific course
Company,inquires_reason_for,absentee payroll rejection for an employee
Company,references,attached rejection email and attendance record
Customer,inquires_about,refund for overpaid Skills Development Levy
Excel sheet,is_insufficient_for,submitting employee details
Customer,seeks_guidance_on,submitting employee details
Customer,has_not_received,callbacks
Customer,reports_unsuccessful_attempts,to contact CPFB for fund withdrawal
Customer,unable_to_visit,CPFB due to severe asthma
Customer,inquires_eligibility_for,Workfare Skills Support under the Training Commitment Award program
Staff,potential_beneficiary_of,Workfare Skills Support
Staff,sent_for,courses by employers
Customer,inquires_reason_for,Absentee Payroll funding claim rejection
Customer,receives_notification_of,claim cancellation
Absentee Payroll funding claim,was_rejected_after,receiving an email notification of the cancellation
Customer,inquired_about,follow-up notification for outstanding Skills Development Levy payment
Payment,made_without,a reference number
Customer,needs_time_to,retrieve payment records
Customer,inquires_about,payment methods for the Skills Development Levy
Customer,lacks,PayNow and Organisation Registration Bank Transfer options
Customer,inquires_reason_for,cancellation of Absentee Payroll Grants
Customer,seeks_resolution_for,pending declarations affecting workplace relationship training grants
Survey reception,caused_by,technical glitch
Customer,complains_about,receiving a survey one year after course completion
Customer,requests,timely surveys
Customer,requests,process review to prevent future issues
Customer,inquires_about,payment mode for Absentee Payroll disbursements
Payment mode,is_for,Absentee Payroll disbursements on the Enterprise Jobs and Skills Portal
Customer,questions_if,PayNow is the only payment mode
Customer,is_inquiring,if payment is mandatory
Grant rejection,indicated_in,received email notification
Customer,inquires_about,reason for grant rejection
SkillFuture Enterprise Portal,experiences_issues,slow processing and navigation issues
Issues,include,delayed notifications
Issues,include,unnotified Absentee Payroll funding rejections
Issues,include,unclear navigation between portals
Customer,inquired_about,application process for Absentee Payroll
Staff member,faced,similar issue
Customer,inquires_reason_for,Child First Aid Course no longer eligible for funding
Child First Aid Course,was_previously,eligible for funding
Customer,inquires_about_receiving,Skills Development Levy Notice of Assessment for 2023
Customer,seeks_guidance_on,making the outstanding payment
Workforce Singapore,assured,urgency
Request,described_as,Urgent
Training allowances,for,Career Trial
Request,is_for,update on unpaid training allowances
Requester,made_multiple_follow-ups,regarding unpaid training allowances
Training allowances,status_since,May-31
Job posting,purpose_of,to apply for an Employment Pass (EP)
Customer,reports,grant rejections due to failed CPF verification for company-sponsored trainees
Customer,seeks_advice_on,cases where CPF contributions lag
Customer,seeks_advice_on,pending grant disbursements
Customer,inquires_about,status of Training Allowance and Training Commitment Award payments
Payments,related_to,his Environmental Services course
Company,intends_to_submit,Notice of Objection
Company,opts_not_to_pay,outstanding amount
Company,received,Skills Development Levy Notice of Assessment
Customer,inquires_about,calculation of the Skills Development Levy
Customer,mentions,previous contributions for his father's Central Provident Fund
Customer,receives,outstanding payment letter
Career Conversion Programmes,includes,different roles within the same sector customer currently works in
Customer,inquires_about,eligibility to apply for multiple Career Conversion Programmes
New SkillsFuture Credits claim,based_on,new course date
Customer,is_submitting,new SkillsFuture Credits claim
Customer,rescheduled_course_to,Mar-23
Customer,forgot_to_include,reference number
Customer,paid,Skills Development Levy amount
Customer,has_unsuccessful_search_attempts_for,locksmith courses
Customer,seeks_assistance_to_find,locksmith courses on the MySkillsFuture website
Unemployed customer,inquires_about,eligibility for Workfare Skills Support for the year 2023
Customer,inquires_about,payment status for the Outstanding Skills Development Levy for 2023
Customer,requests,confirmation of payment receipt
Customer,unaware_of,Skills Development Levy being mandatory for foreign workers
E-attendance failure,occurs_for,student in Workplace Safety and Health Management course
Manual attendance,recorded_for,student
Request,to_accept,manual attendance for funding purposes
Customer,inquired_about,process for applying for courses
Customer's resume,posted_on,mycareerfuture without consent
Customer,receives,unwanted calls and messages
Customer,requests_removal_of,resume from the database
Customer,inquires_about_qualifying_for,SkillsFuture Singapore incentive
Customer,taking_courses_in,Barista Skills and Cake Baking
Payment method,is,Central Provident Fund EZPay
Employer,queries,outstanding $3.00 in Skills Development Levy for foreign employees
Employer,seeks_direct_contact_for,clarification
Discrepancies,exist_in,attendance and assessment records across multiple course runs
System,fails_to,automatically rescore
Issues,include,missing scores and failed assessments
Customer,did_not_attend,GPT course
Reason for not attending,due_to,issue with their Skillsfuture credits claim
Customer,unable_to_provide,course feedback
Individual,employs,personal staff
Individual,is_not,corporate employer
Individual,unable_to,lodge online objection to Skills Development Levy Notice of Assessment
Customer,inquires_about,multiple rejections and cancellations of Absentee Payroll funding
Customer,seeks_assistance_with,updating salary details on the Enterprise Jobs and Skills Portal
Customer,seeks_explanations_for,rejections and cancellations
Customer,inquiring_about,status of their Workfare Income Supplement payout
Payment,for,Skills Development Levy for 2022
Customer,made_payment_to,MOM
Requester,requests_clarification_on,rejection of absentee payroll grants for a specific course
Requester,unable_to_submit,required salary information for organization registration
Absentee Payroll eligibility,after_rejection_for,course Introduction to Student and Youth Care
Urgent appeal,made_for,Absentee Payroll eligibility
Assistance,requested_from,SkillsFuture Singapore
Customer,inquiring_about,underpayment despite levy inclusion for local and foreign employees in payroll software
Customer,inquired_about,status of their Training Allowance disbursement
Training Allowance disbursement,under,Workfare Skills Support program
Grant rejection notifications,include,reasons for rejection
Requester,requests_clarification_on,center receiving grant rejection notifications
Multiple centers,use,the same email address
UEN,not_found,Notice of Assessment
Customer,received,Notice of Assessment for outstanding Skills Development Levy for 2022
Customer,requests,explanation
Notice of Assessment,tagged_to,individual
Inquiry,for_purpose_of,making payment
Customer,inquired_about,SkillsFuture Singapore's PayNow ID
Customer,inquires_about,offsetting overpayment of Skills Development Levy
Overpayment,offset_against,outstanding amount in the Notice of Assessment
Overpayment,related_to,Skills Development Levy
Absentee Payroll grant,for_trainee_attended,course on Sustainability Reporting and Strategic Communication
Customer,queries_rejection_of,Absentee Payroll grant
Customer,seeks_appeal_process_for,cancelled status
Customer,cites_payment_made_in,September
Payment reason,due_to,submission date change by Central Provident Fund
Customer,objects_to,outstanding Skills Development Levy amounts on Notice of Assessment
Customer,needs_assistance_with,setting a role in CorpPass
Customer,unable_to_log_into,Enterprise Jobs and Skills Portal
Excessive notification emails,affects,mailbox capacity
Customer from Dyson Operations,reports_receiving,excessive notification emails for confirmed enrolment
Customer,requests_assistance_to_stop,auto-emails
Customer,queries_cause_of_issue,due to expiration
Customer,seeks_details_on,a specific payment received
Customer,seeks_information_on,how to resubmit
Customer,unable_to_declare_for,all completed modules due to cancellations
Foreign employee,ceased_working_since,Jan-23
Skills Development Levy,concerns,foreign employee
Employer,inquires_about,necessity of paying Skills Development Levy
Customer,inquired_about,email concerning rejection of Absentee Payroll declaration
Case,has_reference_to,UEN
Case,involves_individual,Ron
Ron,related_to,SkillsFuture Singapore EMP
Customer,is_seeking,guidance on how to submit the Absentee Payroll declaration
Customer,received,email about Absentee Payroll rejection
Tokyo Tatemono Asia Pte.Ltd,before_proceeding_with,payment
Tokyo Tatemono Asia Pte.Ltd,requests,breakdown of the outstanding Skills Development Levy for 2022
Customer,seeks_clarification_on,figures and payment method for resigned employee
Customer,unaware_of_inclusion,foreign employees in Skills Development Levy
Customer,received_notice_for,outstanding Skills Development Levy payment
Customer,seeks_guidance_on_behalf_of,self-employed friend
Customer,wants_to_know,how to make the payment
Customer,inquires_about,claim details and issues with previous claim
Previous claim,involved,full course fee paid
Customer,unable_to_submit,SkillsFuture Credit claim through the British Council website
Trainee,has_filed,police report
Trainee account,is_blocked_due_to,previous scam
Trainee,unable_to_scan,E-Attendance for a course
Customer,makes_inquiries_on_behalf_of,their mother
Customer,received,letter about an outstanding Skills Development Levy for 2022
Foreign trainees,attending,basic food safety course in Singapore for 2-3 weeks
Customer,enquires_about,recording attendance for foreign trainees without Singpass
Customer,inquired_about,reason for rejection
Customer,inquired_about,possibility of reinstatement
Customer,received,rejection notification for Absentee Payroll grant
Customer,is_inquiring,reason for Absentee Payroll application rejection
Email,states,Absentee Payroll application was rejected
Customer,does_not_receive,declaration reminders
Customer,receives,rejection emails for Absentee Payroll grants
Customer,requests,at least one declaration and reminder before cancellation of payments
Customer,inquires_reason_for,Absentee Payroll funding claim cancellation
Customer,notes,no email notification received for completing necessary declarations
Customer,claims,consistent monthly contributions
Customer,disputes,outstanding Skills Development Levy in Notice of Assessment
Customer,mentions,self-detected payments
Customer,inquires_about,expected payment date
Absentee Payroll Payment status,is,pending for Occupational First Aid Course
Declaration,status_is,completed
Course,renamed_from,"""Leading with Big Data Analytics"" to ""AI FOR LEADERS"""
HR representative from EASTPORT MARITIME PTE LTD,seeks_review_of,rejected Absentee Payroll Claims
Customer,requested_follow-up_for,specific bank account issue
Policy,aims_to_prevent,last-minute cancellations
Requester,requests_documentation_on,policy of collecting deposits from trainees
Mr. Lim Kwang Ling,inquires_about,status of his claim
Mr. Lim Kwang Ling,reports,no acknowledgment or visible claims under Career Trial Claim after selecting action
Survey,asks_for_feedback_on,course benefits related to work and career
Customer,questions_legitimacy_of,survey received a year after course completion
Customer,inquires_about,purpose of Skills Development Levy
Customer,inquires_about,levy details for foreign workers
Customer,inquires_how_to_use,grant calculator
Customer,paid,Skills Development Levy
Customer,inquired_about,availability of higher special needs programs
Higher special needs programs,offered_by,schools registered under the Committee for Private Education
Customer,inquires_reason_for,claim cancellation
Claim,was_cancelled_despite,all trainees completing the training and receiving certificates of completion
Customer,inquires_about,missing monthly disbursements
Monthly disbursements,related_to,Workfare Income Supplement
Customer,did_not_verify,contact number
Customer,disconnected_call_after,mentioning the name Gordon
Customer,inquires_about,Absentee Payroll grant rejection received via email
Customer,reports,unauthorized access issues on the Enterprise Jobs and Skills Portal
GAC (Singapore) Pte Ltd,provides,ship agency and logistics services
GAC (Singapore) Pte Ltd,receives,grant rejection notification
GAC (Singapore) Pte Ltd,requests_advice_on,grant rejection notification
Customer,inquired_about,booking an appointment for Career Advisory service
Removal reason,due_to,an error message
Details,provided_in,the attached file
Assistance,requested_for,urgent removal of three persons from Training Provider Gateway
Customer,claims,payment was made
Customer,disputes,outstanding Skills Development Levy amounts in Notice of Assessment
Customer,inquiring_about,reason for email reception
Email content,states,Absentee Payroll application was rejected
Customer,faces_error,enrolling a trainee in a virtual classroom course
Course,on,Training Partners Gateway
Customer,provides,accurate trainee details
Customer,troubleshoots_with,different browsers
Course applications,accessed_through,Training Provider Gateway
Customer,inquired_about,new eligibility criteria for course applications
Rejection notices,received_for,absentee payroll grants not applied for three courses in 2021 and 2022
Recipient,requests_clarification_on,required actions
AtSunrice GlobalChef Academy,reports,non-disbursement of training grants for various trainees
AtSunrice GlobalChef Academy,requests_status_check_on,the disbursement
Workplace Skills Qualification Courses,characterized_by,without funding
Singpass e-attendance,for_use_in,upcoming Workplace Skills Qualification Courses
Inquirer,inquires_about,necessity of Singpass e-attendance for special needs students
Customer,inquired_about,submitting a medical report for driving license renewal
Email invitation,lacked,a clickable link to proceed
Jobseeker,received,email invitation for a Career Trial position
Career Ignite appointment,originally_set_for,25/10/23
Customer,requested_to_reschedule,Career Ignite appointment
Notification email,from,Enterprise Jobs and Skills Portal
Customer,is_unsure_about,selecting a link in the notification email
Customer,reports_rejection_of,Absentee Payroll Grants
Specific course,associated_with,rejection of Absentee Payroll grants
Customer,notes,additional rejections without details
Absentee Payroll grants,rejected_by,SkillsFuture Singapore
Customer inquiry,about,absentee payroll grant
Customer,requests,email address
Inquiry,following,a notice from SkillsFuture Singapore
Customer,inquires_about,outstanding Skills Development Levy liabilities for 2022
Inquiry,on_behalf_of,a company
Customer,requests_clarification_on,reason for rejection
Customer,requests_information_on,necessary actions to resolve the issue
Absentee Payroll grant,was_rejected_due_to,unmet funding criteria
Customer,inquired_about,linkage of Paynow with NRIC for Workfare Skills Support Training Allowance disbursement
Customer,inquired_about_duration_for,after submitting the QR form in early September
Customer,inquires_about_reason_for,rejection of an absentee payroll grant for a specific course
Customer,requests_information_on,the appeal process
Application deadline expiration,caused_by,an oversight
Application deadline,has_expired_for,Productivity Solutions Grant
Assessment results,concerns,four participants
Assessment results,expected_in,TP Gateway
Request,for,permission for late submission
Assessment results,not_reflected_due_to,technical glitch
Customer,attempts_to_proceed_with,application
System,experiences_error,endless loading and notification issues
Customer,unable_to_submit,Skillfuture Credit Claim application
Absentee Payroll funding reduction,for,employees trained at SERAPHCORP INSTITUTE
Customer,inquires_about,grant rejections for enrolments
Customer,inquires_about,reduction in Absentee Payroll funding
Certificate,for,completed Sound Engineering course
Sound Engineering course,located_at,Kallang Wave
Customer,seeks_assistance_to,view/download certificate
Absentee payroll grants,related_to,"""SUPERVISORY TRAINING IN ART SELF-SWAB"" course"
Customer,seeks_reason_for,rejection of absentee payroll grants
Customer,requests_extension_for,paying the Skills Development Levy
Customer,to_verify,past records before payment
Career Centre,contacted_customer_late_for,scheduled phone coaching appointment
Customer,reports,late contact by Career Centre
Phone coaching appointment,scheduled_for,9:00 a.m. today
Customer,inquired_about,need for email update after payment
Payment,referenced_in,Skills Development Levy 2023 Notice of Assessment
Customer,inquires_about,calculation of the Skills Development Levy amount
Customer,reports_lack_of,payment acknowledgement notifications from SkillsFuture Singapore
Training Commitment Award and Training Allowance,for_completed_course,Environmental Services course
Outstanding payment,due_to,overpayment for work permit staff to another entity
Employer,seeks_advice_on,refund process
Individual,no_longer_manages,Absentee Payroll Funding
Requester,requests_removal_of_individual_from,email notifications
Requester,seeks_advice_on,removal procedure
Person,inquired_about,Training Allowance disbursement for his father
Person,linked,PayNow to NRIC
Error,occurs_during_update,in Training Partners Gateway
Former colleague's details,remain_due_to_error,in Management Representative information
Customer,unable_to_update,director's information as Management Representative in Training Partners Gateway
Proof,for_use_in,Ministry of Manpower documentation
Company,offers,Workplace Skills Qualification courses
Customer,requests_proof_for,her company being an Approved Training Organisation (ATO)
Delay,complicates_management_for,multiple trainees
Rejection notification,delayed_by,a year
Rejection notification,lacks,course details
Customer,received,unprofessional-looking rejection notification for Absentee Payroll
Appeal,requests_re-submission_for,specific course on Access Control Management
Appeal,submitted_for,rejected Absentee Payroll funding for staff member
Customer,inquires_about,employment assistance programs offered by Workforce Singapore
Customer,mentions_engagement_with,Maximus
Customer,did_not_receive,auto email to submit required payroll declarations
Customer,received,rejection email for Absentee Payroll grant
Customer,wishes_to,appeal
Customer,is_unsure_if,course has a Letter of Acceptance
Customer,is_unsure_of,agreement reference ID
Customer,seeks_to_refund,disbursed grants via Training Partners Gateway
Small-Medium Enterprise declaration,by,SkillsFuture Singapore
Customer,inquires_about,required documents for Small-Medium Enterprise declaration
Customer,inquires_about,approval time for Small-Medium Enterprise declaration
Employees,characterized_as,domestic servants and chauffeurs
Employees,exempt_from,Skills Development Levy
Request,to_waive,outstanding Skills Development Levy
Customer,inquired_about,timeline for receiving Full Qualification Certificate
Employer,submitted,customer details
Customer,is,retrenched
Customer,seeking,employment assistance
Customer,inquires_about,rescheduling their Career Ignite (CI) workshop appointment
Customer,reports,closed Career Trial application due to lack of communication
Customer,requests,urgent approval for new application
Customer,submits,new application
Customer,did_not_receive,auto email to submit payroll declarations
Customer,wishes_to,appeal rejection
Customer,placed,call on hold
Inability to claim SkillsFuture Credit,leads_to,extra payment
Training Provider,refuses,deposit refund upon withdrawal request
Customer,unable_to_claim,SkillsFuture Credit for a course
Customer,inquired_about_requirements_for,registering an organization
Customer,inquired_about_requirements_for,getting course approval for SkillsFuture Singapore funding
Customer,made_payment_for,Skills Development Levy 2023
Customer,received,reminder despite payment confirmation
Customer,applying_for,retail job license
Customer,directed_between,"Go Business, SFA, and SkillsFuture Singapore for resolution"
Customer,faces_issues_with,invalid date on e-Certificate
Customer,received,payment reminder again
Customer,reports_making_payment_for,Skills Development Levy via Paynow
Customer,wishes_to_update,payment details
Customer,is_seeking,clarification on the matter
Customer,received_email_about,rejection of Absentee Payroll grants from SkillsFuture Singapore
Customer,appeals_on_behalf_of,corporate client
Appeal,concerns,rejected Absentee Payroll funding
Absentee Payroll funding,related_to,specific course and enrolment
Payment,made_for,Skills Development Levy 2023
Reminder notice,received_despite,payment made
Customer,requests_confirmation_of,payment receipt to avoid fines
Claimed amount,is,up to 10k
NTT Singapore Pte Ltd,seeks_clarification_on,rejection of their absentee payroll grant for training courses
800 Super Waste Management Pte Ltd,requests,urgent advice
800 Super Waste Management Pte Ltd,seeks_clarification_on,multiple course-related grants rejections
Customer,received_survey_for,course not attended
Course,was_delayed_due_to,technical glitch
Old sole proprietorship,ceased_and_converted_to,new company
Outstanding Skills Development Levy notice,for_period_where,all staff were under the new company
New company,received,outstanding Skills Development Levy notice
Sterling Law Corporation,made_payment_for,Skills Development Levy 2023
Sterling Law Corporation,provided,payment receipt
Payment,references,Notice of Assessment
Transaction receipts,attached_to,payment confirmation
Customer,confirms_payment_for,Skills Development Levy 2023
Customer,requests_update_and_acknowledgment,despite receiving a reminder letter
Customer,inquiring_about,update timeline in the SkillsFuture Singapore system
Customer,made,Skills Development Levy payment
Customer,received,reminder for Skills Development Levy payment
Course,completion_date,Jun-23
Customer,inquired_about,Absentee Payroll declaration process
Current status,is,'Pending Declaration' on the Enterprise Jobs and Skills Portal
Customer,finds_no_actionable_items_in,Enterprise Portal
Absentee payroll grants,for_course,Finance for Non-Finance Professionals
Customer,seeks_clarification_on,rejection of absentee payroll grants
